,time[ms],time_0,csv_load_0,time_1,csv_load_1
2699,5000,5000,0.6666666666666666,4600.0,
2700,5100,5100,0.6012658227848101,4700.0,
2701,5200,5200,0.6294117647058823,4800.0,0.8333333333333334
2702,5300,5300,0.6442953020134228,4900.0,0.9
2703,5400,5400,0.6077348066298343,5000.0,0.9090909090909092
2704,5500,5500,0.5957446808510638,5100.0,0.7
2705,5600,5600,0.7659574468085106,5200.0,0.7
2706,5700,5700,0.6280487804878049,5300.0,0.8666666666666667
2707,5800,5800,,5400.0,0.75
2708,5900,5900,,5500.0,0.8181818181818182
2709,6000,6000,,5600.0,0.5555555555555556
2710,6100,6100,,5700.0,
2711,6200,6200,,5800.0,
2712,6300,6300,,5900.0,0.9
2713,6400,6400,0.13649564375605033,6000.0,0.8461538461538461
2714,6500,6500,0.8518518518518519,6100.0,0.8333333333333334
2715,6600,6600,0.8031496062992126,6200.0,0.8461538461538461
2716,6700,6700,0.7975460122699386,6300.0,
2717,6800,6800,0.7142857142857143,6400.0,
2718,6900,6900,0.6134969325153374,6500.0,
2719,7000,7000,0.6792452830188679,6600.0,
2720,7100,7100,0.6518518518518519,6700.0,0.8333333333333334
2721,7200,7200,0.6524064171122995,6800.0,0.9090909090909092
2722,7300,7300,0.6610169491525424,6900.0,0.9090909090909092
2723,7400,7400,0.5882352941176471,7000.0,0.8333333333333334
2724,7500,7500,0.5648535564853556,7100.0,
2725,7600,7600,0.6912751677852349,7200.0,
2726,7700,7700,0.5657894736842105,7300.0,0.9166666666666666
2727,7800,7800,0.6717171717171717,7400.0,
2728,7900,7900,0.625,7500.0,
2729,8000,8000,0.6486486486486487,7600.0,0.631578947368421
2730,0,0,,7700.0,0.875
2731,100,100,0.9558823529411764,7800.0,0.8333333333333334
2732,200,200,0.8740740740498999,7900.0,0.75
2733,300,300,0.7863247863499293,0.0,
2734,400,400,0.8888888888888888,100.0,
2735,500,500,0.8811188811188811,200.0,
2736,600,600,0.8651685393258427,300.0,0.7
2737,700,700,,400.0,
2738,800,800,,500.0,
2739,900,900,0.7536231884057971,600.0,0.8333333333333334
2740,1000,1000,0.8309859154929577,700.0,
2741,1100,1100,0.8873239436619719,800.0,
2742,1200,1200,0.8729281767955801,900.0,0.9166666666666666
2743,1300,1300,0.8484848484848485,1000.0,0.7692307692307693
2744,1400,1400,0.7291666666666666,1100.0,0.8
2745,1500,1500,0.7784090909090909,1200.0,
2746,1600,1600,0.7614678899082569,1300.0,
2747,1700,1700,0.9166666666666666,1400.0,0.8333333333333334
2748,1800,1800,0.953846153846154,1500.0,0.7647058823529411
2749,1900,1900,0.7431192660550459,1600.0,0.8181818181818182
2750,2000,2000,0.72,1700.0,
2751,2100,2100,0.8592592592592593,1800.0,
2752,2200,2200,0.8099547511312217,1900.0,0.9090909090909092
2753,2300,2300,0.7461538461538462,2000.0,0.8333333333333334
2754,2400,2400,0.6474358974358975,2100.0,0.8461538461538461
2755,2500,2500,0.6379310344827587,2200.0,
2756,2600,2600,0.6530612244897959,2300.0,
2757,2700,2700,0.8618784530386742,2400.0,0.75
2758,2800,2800,0.7786259541984732,2500.0,
2759,2900,2900,0.5911949685534591,2600.0,
2760,3000,3000,0.484375,2700.0,0.5555555555555556
2761,3100,3100,0.6585365853658537,2800.0,0.8125
2762,3200,3200,0.6666666666666666,2900.0,0.8333333333333334
2763,3300,3300,0.6273291925465838,3000.0,0.8333333333333334
2764,3400,3400,0.6542553191489362,3100.0,
2765,3500,3500,0.5882352941176471,3200.0,
2766,3600,3600,0.6217616580310881,3300.0,0.75
2767,3700,3700,0.6209150326797386,3400.0,0.9
2768,3800,3800,0.7098765432098766,3500.0,
2769,3900,3900,0.6666666666666666,3600.0,
2770,4000,4000,0.5454545454545454,3700.0,0.4705882352941176
2771,4100,4100,0.4794007490636704,3800.0,0.8181818181818182
2772,4200,4200,0.6628571428571428,3900.0,
2773,4300,4300,0.6065573770491803,4000.0,
2774,4400,4400,0.7017543859649122,4100.0,0.8461538461538461
2775,4500,4500,0.6346153846153846,4200.0,0.9
2776,4600,4600,0.6505376344086021,4300.0,0.7272727272727273
2777,4700,4700,0.5962732919254659,4400.0,0.7333333333333333
2778,4800,4800,0.6122448979591837,4500.0,
2779,4900,4900,0.6407407407229048,4600.0,
2780,5000,5000,0.6460905349994029,4700.0,0.8181818181818182
2781,5100,5100,0.6607142857142857,4800.0,0.9
